reward_id,r_id,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
452,5ff8c3a20a7214adca000005,089203700016,PURE LEAF CHAMOMILE HERBAL TEA .74 OZ,10.00,10.00,,0,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,PURE LEAF TEA,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100.0,,,,,,,
458,5ffcb4d40a7214ad4e000017,079400245328,DOVE MEN PLUS CARE DEODORANT AQUA IMPACT 48 HOUR PROTECTION PLASTIC WRAPPED PLASTIC CONTAINER SP 3 OZ,10.00,10.00,,0,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,DOVE MEN+CARE DEODORANT,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100.0,,,,,,,
472,5ffc9daa0a7214adca000054,001111147332,CARESS FINE FRAGRANCE LOVE FOREVER WASH SOAP PLASTIC BOTTLE RP 3 OZ,10.00,10.00,,0,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,CARESS BODY WASH AND SOAP,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100.0,,,,,,,
515,5ffcb4c90a7214ad4e000016,079400245328,DOVE MEN PLUS CARE DEODORANT AQUA IMPACT 48 HOUR PROTECTION PLASTIC WRAPPED PLASTIC CONTAINER SP 3 OZ,10.00,10.00,,0,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,DOVE MEN+CARE DEODORANT,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100.0,,,,,,,
570,5ffe17e20a720f05ac0000e7,072785048119,Germ-X Hand Sanitizer - Original,2.29,2.29,,0,,1.0,,,,,,,,SUAVE HAND SANITIZER,5332f5f6e4b03c9a25efd0b4,,,,GERM-X,,2.29,Germ-X Fresh Hand Sanitizer with Pump - 8 fl oz,,,,,True,,,,2.29,
638,6000b2be0a7214ad4c00004d,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,16.60,16.60,,1011,,4.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,16.60,BEN & JERRY' S CHUNKY MONKEY PINT,,,166.0,,,,,,,BEN AND JERRYS ICE CREAM
640,6000b2be0a7214ad4c00004d,036000391718,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,3.86,3.86,,1017,,1.0,,,,,,,550b2565e4b001d5e9e4146f,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,,,,KLEENEX,,3.86,KLEENEX TRUSTED CARE FACIAL TISSUES,,,38.6,,,,,,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK"
643,6000b2be0a7214ad4c00004d,036000391718,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,6.08,6.08,,1025,,2.0,,,,,,,550b2565e4b001d5e9e4146f,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,,,,KLEENEX,,6.08,KLEENEX TRUSTEA CARE FACIAL TISSUES,,,60.8,,,,,,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK"
644,6000b2be0a7214ad4c00004d,311111511867,BEN AND JERRYS ICE CREAM,5.40,5.40,,1028,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,5.40,BEN & JERRY.S CHUNXY MCNKEY PINT,,,54.0,,False,,,,,BEN AND JERRYS ICE CREAM
645,6000b2be0a7214ad4c00004d,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,21.30,21.30,,1030,,5.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,21.30,BEN 6 JERRY.S CHUN*Y MONKEY PINT,,,213.0,,,,,,,BEN AND JERRYS ICE CREAM
647,6000c8460a720f05f300006f,041000022623,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,4.86,4.86,,1012,,3.0,,,,,,,5332f5f6e4b03c9a25efd0b4,KNORR SIDES,5332f5f6e4b03c9a25efd0b4,,,,KNORR,,4.86,KNORR CREAMY CHICKEN,,,48.6,,,,,,,KNORR SIDES
649,6000c8460a720f05f300006f,076840580750,Ben & Jerry's Chunky Monkey Non-Dairy Frozen Dessert 16 oz,15.30,15.30,,1017,,3.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,15.30,BEN & JERRY' S CHUNKY MONKEY PINT,,,153.0,,,,,,,BEN AND JERRYS ICE CREAM
650,6000c8460a720f05f300006f,076840580750,Ben & Jerry's Chunky Monkey Non-Dairy Frozen Dessert 16 oz,28.70,28.70,,1020,,5.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,28.70,BEN & JERRY' S CHUNKY MONKEY PINT,,,287.0,,,,,,,BEN AND JERRYS ICE CREAM
651,6000c8460a720f05f300006f,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,21.44,21.44,,1023,,4.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,21.44,BEN & JERRY' S CHUNKY MONKEY PINT,,,214.4,,,,,,,BEN AND JERRYS ICE CREAM
652,6000c8460a720f05f300006f,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,13.44,13.44,,1026,,3.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,13.44,BEN & JERRY S CHUNKY MENKEY PINT,,,134.4,,,,,,,BEN AND JERRYS ICE CREAM
660,6000b9b70a720f05f300006d,036000391718,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,5.38,5.38,,1018,,2.0,,,,,,,550b2565e4b001d5e9e4146f,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK",550b2565e4b001d5e9e4146f,,,,KLEENEX,,5.38,KLEENEX TRUSTED CARE FACIAL TISSUES,,,53.8,,,,,,,"KLEENEX TRUSTED CARE FACIAL TISSUES 120 - 179 COUNT, 8 PACK"
661,6000b9b70a720f05f300006d,028435383253,KLRB CRBN WTR CLR FR LMN SPRK CAN 12PK 12 FL OZ,15.60,15.60,,1021,,5.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,KLARBRUNN,,15.60,KLARBRUNN 12PX 12 FL OZ,,,,,,,,,,
664,6000b9b70a720f05f300006d,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,18.40,18.40,,1030,,4.0,,,,,,,5332f5f6e4b03c9a25efd0b4,BEN AND JERRYS ICE CREAM,5332f5f6e4b03c9a25efd0b4,,,,BEN AND JERRYS,,18.40,BEN 4 JERRY.A CHUN*Y MONKEY PINT,,,184.0,,,,,,,BEN AND JERRYS ICE CREAM
694,6000d4900a7214ad4c000064,822142991523,TIGI BED HEAD B FOR MEN CLEAN UP CLEANSING SHAMPOO LIQUID PLASTIC TUBE RP 8.45 OZ - 0822142991521,10.00,10.00,,0,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,TIGI HAIR CARE,5332f5f6e4b03c9a25efd0b4,,,,BRAND,,,,,,100.0,,,,,,,
720,600206000a720f05f3000087,036632011077,Light & Fit Greek Crunch Key Lime Pie Yogurt,0.54,0.54,,1025,,1.0,,,,,,,,YOPLAIT GREEK YOGURT,5332f5f3e4b03c9a25efd0ae,,,,LIGHT & FIT GREEK,,0.54,HYV LF KEY LIME PIE,,,,,True,,,,,
724,600206000a720f05f3000087,075706191031,CNS CLSC THN SPR BLCK OLV GRN PPR ONN WHL MLK MZRL PRMS RMN 25.49 OZ,5.99,5.99,,1031,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,CONNIE'S PIZZA,,5.99,CONNIES SUPREME PIZZ,,,,,,,,,,
726,600206000a720f05f3000087,019600920106,Van de Kamp's - Crispy Fish Fillets 19.45-oz,6.99,6.99,,1033,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,VAN DE KAMP'S,SMART ONES,6.99,VAN DE KAMP JUMBO FI,,,,,,,,,,
728,600206000a720f05f3000087,028189000079,HTCH JLPN PPR SLCD JAR SLCT 12 OZ,1.19,1.19,,1037,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,HATCH FARMS,,1.19,HATCH NACHO SLCD JAL,,,,,,,,,,
729,600206000a720f05f3000087,754500326305,Hy-Vee Clover Honey Bear,5.99,5.99,,1039,,1.0,,,,,,,,,,,,,HY-VEE,,5.99,HYV CLOVER HNY BEAR,,,,,,,,,,
733,600206000a720f05f3000087,058496723002,WSTMP SS CTSNK RPGBG CHKN 6.3OZ,1.99,1.99,,1043,,1.0,,,,,,,,,550b2565e4b001d5e9e4146f,,,,TEMPTATIONS,,1.99,TEMPT TASTY CHICKEN,,,,,,,,,,
734,600206000a720f05f3000087,058449450023,NTRS PTH FLX N OATS INST OAT ORGN BOX HOT CRL 14 OZ,3.99,3.99,,1046,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,NATURE'S PATH ORGANIC,,3.99,NATURES PATH OF OATS,,,,,,,,,,
735,600206000a720f05f3000087,075450093070,Hy-Vee Medium Cheddar Cheese Brick,4.99,4.99,,1050,,1.0,,,,,,,,,,,,,HY-VEE,,4.99,HYV MED CHED BRICK,,,,,,,,,,
736,600206000a720f05f3000087,048500256763,DOLE ORANGE PEACH MANGO JUICE VITAMIN C ENRICHED FROM CONCNTRT PSTRZD CARTON 1 CT 59 OZ,1.31,1.31,,1053,,1.0,,,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DOLE BLENDS MULTI SERVE,5332f5fbe4b03c9a25efd0ba,,,,DOLE,,1.31,DOLE BANANAS,,,,,,,,,,DOLE BLENDS MULTI SERVE
740,600206000a720f05f3000087,075450120400,Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,1.99,1.99,,1063,,1.0,,,,,,,,,,,,,HY-VEE,,1.99,HV CAGE FREE LG WHT,,,,,,,,,,
742,600206000a720f05f3000087,036632011077,Light & Fit Greek Crunch Key Lime Pie Yogurt,0.56,0.56,,1065,,1.0,,,,,,,,YOPLAIT GREEK YOGURT,5332f5f3e4b03c9a25efd0ae,,,,LIGHT & FIT GREEK,,0.56,HYV LF KEY LIME PIE,,,,,True,,,,,
743,600206000a720f05f3000087,754500797204,Hy-Vee Orange Cream Lowfat Yogurt,0.56,0.56,,1066,,1.0,,,,,,,,,,,,,HY-VEE,,0.56,HYV LF ORANGE CREAM,,,,,,,,,,
745,600206000a720f05f3000087,075450085150,Hy-Vee Unsalted Sweet Butter Quarters,3.99,3.99,,1068,,1.0,,,,,,,,,,,,,HY-VEE,,3.99,HYV UNSLTD SWT BTR,,,,,,,,,,
747,600206000a720f05f3000087,071007023095,EL MNT MLD BF BN GRN CHL BRT KP FRZN BAG 32 OZ,4.99,4.99,,1072,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,EL MONTEREY,,4.99,EL MONT GREEN CHILI,,,,,,,,,,
748,600206000a720f05f3000087,072310001459,Bigelow Green Tea Bags with Lemon,3.49,3.49,,1075,,1.0,,,,,,,,LIPTON TEA,5332f5f6e4b03c9a25efd0b4,,,,BIGELOW,LIPTON TEA,3.49,BIGELOW GRN TEA W/LE,,,,,True,,,,,
750,600206000a720f05f3000087,754502285808,Hy-Vee Kettle Cooked Pub Mustard Flavored Potato Chips,2.39,2.39,,1078,,1.0,,,,,,,,,,,,,HY-VEE,,2.39,HYV KETTLE PUB MUSTA,,,,,,,,,,
752,600206000a720f05f3000087,041390024368,KKMN SWT CHL RFRG AFTR OPNN SC BTL 13 OZ,3.79,3.79,,1080,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,KIKKOMAN,FOOD NETWORK KITCHEN INSPIRATIONS COOKING SAUCE,3.79,KIKKO THAI CHILI SCE,,,,,,,,,,
754,600206000a720f05f3000087,511111204206,SWANSON,5.58,5.58,,1083,,2.0,,,,,,,5a734034e4b0d58f376be874,,5a734034e4b0d58f376be874,,,,SWANSON,,5.58,SWANSON UNSLTD CKN,,,55.8,,False,,,,,
755,600206000a720f05f3000087,043000716021,YUBAN Traditional Medium Roast Ground Coffee 12 oz. Canister,5.99,5.99,,1085,,1.0,,,,,,,559c2234e4b06aca36af13c6,YUBAN COFFEE,559c2234e4b06aca36af13c6,,,,YUBAN,,5.99,YUBAN TRDTNL ROAST,,,30.0,,,,,,,YUBAN COFFEE
756,600206000a720f05f3000087,044500341720,Hillshire Farm - Turkey Polska Kielbasa 13.00-oz,3.99,3.99,,1088,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,HILLSHIRE FARM,OSCAR MAYER SAUSAGE LINK,3.99,HILLS TRKY POLSKA KI,,,,,,,,,,
757,600206000a720f05f3000087,754500958803,Hy-Vee Diced Cooked Ham,2.99,2.99,,1089,,1.0,,,,,,,,,,,,,HY-VEE,,2.99,HYV DICED COOKED HAM,,,,,,,,,,
759,600206000a720f05f3000087,024105590051,JST BR BNLS HND TRMD MNML PRCS SKNL CHCK WHL BRST FLT RFRG MLDD TRY 14 OZ,6.99,6.99,,1091,,1.0,,,,,,,,JUST BARE FRESH CHICKEN BREAST FILETS,559c2234e4b06aca36af13c6,,,,JUST BARE,,6.99,JUST BARE CKN BREAST,,,,,,,,,,JUST BARE FRESH CHICKEN BREAST FILETS
760,600206000a720f05f3000087,21251000000,Laura's Lean Beef Ground Beef 93% Lean & Natural,5.99,5.99,,1092,,1.0,,,,,,,,,,,,,LAURA'S LEAN BEEF,,5.99,LEAN GRND BF 93% 7%,,,,,,,,,,
764,600206000a720f05f3000087,048500052020,DL PNPL ORNG BNN FRZN CNCN CAN 48 OZ JC BLND 12 FL OZ,1.53,1.53,,1098,,1.0,,,,,,,,DOLE 100% FRUIT JUICES,559c2234e4b06aca36af13c6,,,,DOLE CHILLED FRUIT JUICES,,1.53,DOLE BANANAS,,,,,,,,,,DOLE 100% FRUIT JUICES
770,600206000a720f05f3000087,754500973400,Hy-Vee 4% Large Curd Cottage Cheese,1.47,1.47,,1111,,1.0,,,,,,,,,,,,,HY-VEE,,1.47,HYV 4% LRG CURD COTT,,,,,,,,,,
771,600206000a720f05f3000087,075450079760,Hy-Vee Lowfat Blackberry Yogurt,0.56,0.56,,1112,,1.0,,,,,,,,,,,,,HY-VEE,,0.56,HYV LF BLACKBERRY YO,,,,,,,,,,
772,600206000a720f05f3000087,754500947807,Hy-Vee Lemon Flavored Lowfat Yogurt,0.56,0.56,,1113,,1.0,,,,,,,,,,,,,HY-VEE,,0.56,HYV LF LEMON YOGURT,,,,,,,,,,
775,600206000a720f05f3000087,075450085150,Hy-Vee Unsalted Sweet Butter Quarters,2.77,2.77,,1116,,1.0,,,,,,,,,,,,,HY-VEE,,2.77,HYV UNSLTD SWT BTR,,,,,,,,,,
778,600206000a720f05f3000087,039400015031,Bush's Best Chili Beans - Kidney Beans in Mild Chili Sauce,1.59,1.59,,1123,,1.0,,,,,,,,BIRDS EYE STEAMFRESH PLAIN FROZEN VEGETABLES,5e825d64f221c312e698a62a,,,,BUSH'S BEST,,1.59,BUSHS MILD KIDNEY CH,,,,,True,,,,,
779,600206000a720f05f3000087,025500204215,Folgers Classic Roast Medium Caffeinated Coffee,14.98,14.98,,1131,,2.0,,,,,,,,SWISS MISS CAFÉ,5e825d64f221c312e698a62a,,,,FOLGERS,MAXWELL HOUSE GROUND COFFEE,14.98,FOLGERS CLASSIC ROAS,,,,,True,,,,,
780,600206000a720f05f3000087,754501311409,Hy-Vee Kettle Cooked Buffalo & Blue Cheese Potato Chips,1.67,1.67,,1133,,1.0,,,,,,,,,,,,,HY-VEE,,1.67,HYV KETTLE BUFFALO&B,,,,,,,,,,
782,600206000a720f05f3000087,754502285808,Hy-Vee Kettle Cooked Pub Mustard Flavored Potato Chips,1.67,1.67,,1136,,1.0,,,,,,,,,,,,,HY-VEE,,1.67,HYV KETTLE PUB MUSTA,,,,,,,,,,
783,600206000a720f05f3000087,754500355602,Hy-Vee Seasoned Croutons,1.79,1.79,,1138,,1.0,,,,,,,,,,,,,HY-VEE,,1.79,HYV SEASONED CROUTON,,,,,,,,,,
785,600206000a720f05f3000087,018627030010,Kashi Granola Bars - Chewy Honey Almond Flax,3.77,3.77,,1140,,1.0,,,,,,,,NATURE VALLEY CHEWY BARS,5332f5f3e4b03c9a25efd0ae,,,,KASHI,,3.77,KASHI GOPLAY HNY ALM,,,,,True,,,,,
786,600206000a720f05f3000087,041000004087,"Lipton Recipe Secrets Beefy Onion Recipe Soup & Dip Mix, 2 count, 2.2 oz",1.99,1.99,,1141,,1.0,,,,,,,5332f5f6e4b03c9a25efd0b4,LIPTON RECIPE SECRETS,5332f5f6e4b03c9a25efd0b4,,,,LIPTON,,1.99,LIPTON BEEFY ONION,,,19.9,,,,,,,LIPTON RECIPE SECRETS
787,600206000a720f05f3000087,058449450023,NTRS PTH FLX N OATS INST OAT ORGN BOX HOT CRL 14 OZ,3.99,3.99,,1144,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,NATURE'S PATH ORGANIC,,3.99,NATURES PATH OF OATS,,,,,,,,,,
789,600206000a720f05f3000087,044500341720,Hillshire Farm - Turkey Polska Kielbasa 13.00-oz,3.99,3.99,,1149,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,HILLSHIRE FARM,OSCAR MAYER SAUSAGE LINK,3.99,HILLS TRKY POLSKA KI,,,,,,,,,,
791,600206000a720f05f3000087,024105590051,JST BR BNLS HND TRMD MNML PRCS SKNL CHCK WHL BRST FLT RFRG MLDD TRY 14 OZ,6.99,6.99,,1151,,1.0,,,,,,,,JUST BARE FRESH CHICKEN BREAST FILETS,559c2234e4b06aca36af13c6,,,,JUST BARE,,6.99,JUST BARE CKN BREAST,,,,,,,,,,JUST BARE FRESH CHICKEN BREAST FILETS
792,600206000a720f05f3000087,021000604647,KRAFT Cheese - Pasteurized Prepared American Singles,3.29,3.29,,1152,,1.0,,,,,,,,SARGENTO SLICED NATURAL CHEESE 7OZ OR SMALLER,5e7cf838f221c312e698a628,,,,KRAFT,,3.29,KRAFT AMER SINGLES,,,,,True,,,,,KRAFT SINGLES
793,600206000a720f05f3000087,21251000000,Laura's Lean Beef Ground Beef 93% Lean & Natural,5.99,5.99,,1153,,1.0,,,,,,,,,,,,,LAURA'S LEAN BEEF,,5.99,LEAN GRND BF 93% 7%,,,,,,,,,,
797,600206000a720f05f3000087,071146002487,CLB SNP CRSP BLCK PPR BKD 40 PCT LS FAT HRVS SNPS BAG 3.3 OZ,1.25,1.25,,1159,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,HARVEST SNAPS,,1.25,HRVST SNAPS BLACK PE,,,,,,,,,,
804,600208270a720f05f3000088,036632011077,Light & Fit Greek Crunch Key Lime Pie Yogurt,0.54,0.54,,1025,,1.0,,,,,,,,YOPLAIT GREEK YOGURT,5332f5f3e4b03c9a25efd0ae,,,,LIGHT & FIT GREEK,,0.54,HYV LF KEY LIME PIE,,,,,True,,,,,
808,600208270a720f05f3000088,075706191031,CNS CLSC THN SPR BLCK OLV GRN PPR ONN WHL MLK MZRL PRMS RMN 25.49 OZ,5.99,5.99,,1031,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,CONNIE'S PIZZA,,5.99,CONNIES SUPREME PIZZ,,,,,,,,,,
810,600208270a720f05f3000088,019600920106,Van de Kamp's - Crispy Fish Fillets 19.45-oz,6.99,6.99,,1033,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,VAN DE KAMP'S,SMART ONES,6.99,VAN DE KAMP JUMBO FI,,,,,,,,,,
812,600208270a720f05f3000088,028189000079,HTCH JLPN PPR SLCD JAR SLCT 12 OZ,1.19,1.19,,1037,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,HATCH FARMS,,1.19,HATCH NACHO SLCD JAL,,,,,,,,,,
813,600208270a720f05f3000088,754500326305,Hy-Vee Clover Honey Bear,5.99,5.99,,1039,,1.0,,,,,,,,,,,,,HY-VEE,,5.99,HYV CLOVER HNY BEAR,,,,,,,,,,
817,600208270a720f05f3000088,058496723002,WSTMP SS CTSNK RPGBG CHKN 6.3OZ,1.99,1.99,,1043,,1.0,,,,,,,,,550b2565e4b001d5e9e4146f,,,,TEMPTATIONS,,1.99,TEMPT TASTY CHICKEN,,,,,,,,,,
818,600208270a720f05f3000088,058449450023,NTRS PTH FLX N OATS INST OAT ORGN BOX HOT CRL 14 OZ,3.99,3.99,,1046,,1.0,,,,,,,,,559c2234e4b06aca36af13c6,,,,NATURE'S PATH ORGANIC,,3.99,NATURES PATH OF OATS,,,,,,,,,,
819,600208270a720f05f3000088,075450093070,Hy-Vee Medium Cheddar Cheese Brick,4.99,4.99,,1050,,1.0,,,,,,,,,,,,,HY-VEE,,4.99,HYV MED CHED BRICK,,,,,,,,,,
820,600208270a720f05f3000088,048500256763,DOLE ORANGE PEACH MANGO JUICE VITAMIN C ENRICHED FROM CONCNTRT PSTRZD CARTON 1 CT 59 OZ,1.31,1.31,,1053,,1.0,,,,,,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DOLE BLENDS MULTI SERVE,5332f5fbe4b03c9a25efd0ba,,,,DOLE,,1.31,DOLE BANANAS,,,,,,,,,,DOLE BLENDS MULTI SERVE
824,600208270a720f05f3000088,075450120400,Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,1.99,1.99,,1063,,1.0,,,,,,,,,,,,,HY-VEE,,1.99,HV CAGE FREE LG WHT,,,,,,,,,,
826,600208270a720f05f3000088,036632011077,Light & Fit Greek Crunch Key Lime Pie Yogurt,0.56,0.56,,1065,,1.0,,,,,,,,YOPLAIT GREEK YOGURT,5332f5f3e4b03c9a25efd0ae,,,,LIGHT & FIT GREEK,,0.56,HYV LF KEY LIME PIE,,,,,True,,,,,
